entry_time,exit_time,direction,entry,exit,outcome,pips
2026-05-23 04:10:00,2026-05-23 04:15:00,SELL,4512.097,4513.097,LOSS,-10.0
2026-05-23 12:05:00,2026-05-23 12:10:00,BUY,4507.26826,4506.26826,LOSS,-10.0
2026-05-23 12:25:00,2026-05-23 12:30:00,BUY,4507.27352,4506.27352,LOSS,-10.0
2026-05-23 12:40:00,2026-05-23 12:45:00,BUY,4507.27353,4506.27353,LOSS,-10.0
2026-05-23 12:50:00,2026-05-23 12:55:00,SELL,4504.1462,4505.1462,LOSS,-10.0
2026-05-23 13:00:00,2026-05-23 13:05:00,BUY,4507.27141,4506.27141,LOSS,-10.0
2026-05-23 13:10:00,2026-05-23 13:15:00,SELL,4504.14857,4505.14857,LOSS,-10.0
2026-05-23 13:20:00,2026-05-23 13:25:00,BUY,4507.26677,4506.26677,LOSS,-10.0
2026-05-23 13:30:00,2026-05-23 13:35:00,SELL,4504.15142,4505.15142,LOSS,-10.0
2026-05-23 13:40:00,2026-05-23 13:45:00,BUY,4507.26572,4506.26572,LOSS,-10.0
2026-05-23 14:40:00,2026-05-23 14:45:00,BUY,4507.25195,4506.25195,LOSS,-10.0
2026-05-23 15:00:00,2026-05-23 15:05:00,BUY,4507.24932,4506.24932,LOSS,-10.0
2026-05-23 15:20:00,2026-05-23 15:25:00,BUY,4507.24232,4506.24232,LOSS,-10.0
2026-05-23 15:35:00,2026-05-23 15:40:00,BUY,4507.27154,4506.27154,LOSS,-10.0
2026-05-23 15:45:00,2026-05-23 15:50:00,SELL,4504.15204,4505.15204,LOSS,-10.0
2026-05-23 15:55:00,2026-05-23 16:00:00,BUY,4507.276,4506.276,LOSS,-10.0
2026-05-23 16:05:00,2026-05-23 16:10:00,SELL,4504.14775,4505.14775,LOSS,-10.0
2026-05-23 16:15:00,2026-05-23 16:20:00,BUY,4507.27602,4506.27602,LOSS,-10.0
2026-05-23 16:25:00,2026-05-23 16:30:00,SELL,4504.14599,4505.14599,LOSS,-10.0
2026-05-23 16:35:00,2026-05-23 16:40:00,BUY,4507.27749,4506.27749,LOSS,-10.0
2026-05-23 16:45:00,2026-05-23 16:50:00,SELL,4504.14475,4505.14475,LOSS,-10.0
2026-05-23 16:55:00,2026-05-23 17:00:00,BUY,4507.27848,4506.27848,LOSS,-10.0
2026-05-23 17:05:00,2026-05-23 17:10:00,SELL,4504.14605,4505.14605,LOSS,-10.0
2026-05-23 17:15:00,2026-05-23 17:20:00,BUY,4507.27895,4506.27895,LOSS,-10.0
2026-05-23 17:25:00,2026-05-23 17:30:00,SELL,4504.14382,4505.14382,LOSS,-10.0
2026-05-23 17:35:00,2026-05-23 17:40:00,BUY,4507.27887,4506.27887,LOSS,-10.0
2026-05-23 17:45:00,2026-05-23 17:50:00,SELL,4504.14415,4505.14415,LOSS,-10.0
2026-05-23 17:55:00,2026-05-23 18:00:00,BUY,4507.27827,4506.27827,LOSS,-10.0
2026-05-23 18:05:00,2026-05-23 18:10:00,SELL,4504.14502,4505.14502,LOSS,-10.0
2026-05-23 18:15:00,2026-05-23 18:20:00,BUY,4507.27921,4506.27921,LOSS,-10.0
2026-05-23 18:25:00,2026-05-23 18:30:00,SELL,4504.14839,4505.14839,LOSS,-10.0
2026-05-23 18:35:00,2026-05-23 18:40:00,BUY,4507.27759,4506.27759,LOSS,-10.0
2026-05-23 18:45:00,2026-05-23 18:50:00,SELL,4504.14829,4505.14829,LOSS,-10.0
2026-05-23 18:55:00,2026-05-23 19:00:00,BUY,4507.27546,4506.27546,LOSS,-10.0
2026-05-23 19:05:00,2026-05-23 19:10:00,SELL,4504.15646,4505.15646,LOSS,-10.0
2026-05-23 19:25:00,2026-05-23 19:30:00,SELL,4504.15345,4505.15345,LOSS,-10.0
2026-05-23 19:40:00,2026-05-23 19:45:00,SELL,4504.1689,4505.1689,LOSS,-10.0
2026-05-23 20:35:00,2026-05-23 20:40:00,BUY,4507.25589,4506.25589,LOSS,-10.0
2026-05-23 20:55:00,2026-05-23 21:00:00,BUY,4507.25123,4506.25123,LOSS,-10.0
2026-05-23 21:10:00,2026-05-23 21:15:00,BUY,4507.26431,4506.26431,LOSS,-10.0
2026-05-23 21:20:00,2026-05-23 21:25:00,SELL,4504.15091,4505.15091,LOSS,-10.0
2026-05-23 21:30:00,2026-05-23 21:35:00,BUY,4507.27922,4506.27922,LOSS,-10.0
2026-05-23 21:40:00,2026-05-23 21:45:00,SELL,4504.15847,4505.15847,LOSS,-10.0
2026-05-23 22:00:00,2026-05-23 22:05:00,SELL,4504.15615,4505.15615,LOSS,-10.0
2026-05-23 22:20:00,2026-05-23 22:25:00,SELL,4504.15432,4505.15432,LOSS,-10.0
2026-05-23 22:30:00,2026-05-23 22:35:00,BUY,4507.28544,4506.28544,LOSS,-10.0
2026-05-23 22:40:00,2026-05-23 22:45:00,SELL,4504.153,4505.153,LOSS,-10.0
2026-05-23 22:50:00,2026-05-23 22:55:00,BUY,4507.2865,4506.2865,LOSS,-10.0
2026-05-23 23:00:00,2026-05-23 23:05:00,SELL,4504.15221,4505.15221,LOSS,-10.0
2026-05-23 23:10:00,2026-05-23 23:15:00,BUY,4507.28703,4506.28703,LOSS,-10.0
2026-05-23 23:20:00,2026-05-23 23:25:00,SELL,4504.15193,4505.15193,LOSS,-10.0
2026-05-23 23:30:00,2026-05-23 23:35:00,BUY,4507.28704,4506.28704,LOSS,-10.0
2026-05-23 23:40:00,2026-05-23 23:45:00,SELL,4504.15219,4505.15219,LOSS,-10.0
2026-05-23 23:50:00,2026-05-23 23:55:00,BUY,4507.28652,4506.28652,LOSS,-10.0
2026-05-24 00:00:00,2026-05-24 00:05:00,SELL,4504.15297,4505.15297,LOSS,-10.0
2026-05-24 00:10:00,2026-05-24 00:15:00,BUY,4507.28548,4506.28548,LOSS,-10.0
2026-05-24 00:20:00,2026-05-24 00:25:00,SELL,4504.15427,4505.15427,LOSS,-10.0
2026-05-24 00:30:00,2026-05-24 00:35:00,BUY,4507.28393,4506.28393,LOSS,-10.0
2026-05-24 00:40:00,2026-05-24 00:45:00,SELL,4504.15608,4505.15608,LOSS,-10.0
2026-05-24 00:50:00,2026-05-24 00:55:00,BUY,4507.28187,4506.28187,LOSS,-10.0
2026-05-24 01:00:00,2026-05-24 01:05:00,SELL,4504.15838,4505.15838,LOSS,-10.0
2026-05-24 01:20:00,2026-05-24 01:25:00,SELL,4504.16116,4505.16116,LOSS,-10.0
2026-05-24 01:35:00,2026-05-24 01:40:00,SELL,4504.18163,4505.18163,LOSS,-10.0
2026-05-24 01:50:00,2026-05-24 01:55:00,BUY,4507.27285,4506.27285,LOSS,-10.0
2026-05-24 02:10:00,2026-05-24 02:15:00,BUY,4507.26898,4506.26898,LOSS,-10.0
2026-05-24 02:30:00,2026-05-24 02:35:00,BUY,4507.26472,4506.26472,LOSS,-10.0
2026-05-24 02:50:00,2026-05-24 02:55:00,BUY,4507.26011,4506.26011,LOSS,-10.0
2026-05-24 03:10:00,2026-05-24 03:15:00,BUY,4507.25518,4506.25518,LOSS,-10.0
2026-05-24 03:25:00,2026-05-24 03:30:00,BUY,4507.27916,4506.27916,LOSS,-10.0
2026-05-24 03:35:00,2026-05-24 03:40:00,SELL,4504.15852,4505.15852,LOSS,-10.0
2026-05-24 03:45:00,2026-05-24 03:50:00,BUY,4507.28174,4506.28174,LOSS,-10.0
2026-05-24 03:55:00,2026-05-24 04:00:00,SELL,4504.15619,4505.15619,LOSS,-10.0
2026-05-24 04:05:00,2026-05-24 04:10:00,BUY,4507.28382,4506.28382,LOSS,-10.0
2026-05-24 04:15:00,2026-05-24 04:20:00,SELL,4504.15436,4505.15436,LOSS,-10.0
2026-05-24 04:25:00,2026-05-24 04:30:00,BUY,4507.28541,4506.28541,LOSS,-10.0
2026-05-24 04:35:00,2026-05-24 04:40:00,SELL,4504.15303,4505.15303,LOSS,-10.0
2026-05-24 04:45:00,2026-05-24 04:50:00,BUY,4507.28648,4506.28648,LOSS,-10.0
2026-05-24 04:55:00,2026-05-24 05:00:00,SELL,4504.15222,4505.15222,LOSS,-10.0
2026-05-24 05:05:00,2026-05-24 05:10:00,BUY,4507.28703,4506.28703,LOSS,-10.0
2026-05-24 05:15:00,2026-05-24 05:20:00,SELL,4504.15193,4505.15193,LOSS,-10.0
2026-05-24 05:25:00,2026-05-24 05:30:00,BUY,4507.28705,4506.28705,LOSS,-10.0
2026-05-24 05:35:00,2026-05-24 05:40:00,SELL,4504.15218,4505.15218,LOSS,-10.0
2026-05-24 05:45:00,2026-05-24 05:50:00,BUY,4507.28654,4506.28654,LOSS,-10.0
2026-05-24 05:55:00,2026-05-24 06:00:00,SELL,4504.15295,4505.15295,LOSS,-10.0
2026-05-24 06:05:00,2026-05-24 06:10:00,BUY,4507.28551,4506.28551,LOSS,-10.0
2026-05-24 06:15:00,2026-05-24 06:20:00,SELL,4504.15423,4505.15423,LOSS,-10.0
2026-05-24 06:25:00,2026-05-24 06:30:00,BUY,4507.28396,4506.28396,LOSS,-10.0
2026-05-24 06:35:00,2026-05-24 06:40:00,SELL,4504.15603,4505.15603,LOSS,-10.0
2026-05-24 06:45:00,2026-05-24 06:50:00,BUY,4507.28191,4506.28191,LOSS,-10.0
2026-05-24 06:55:00,2026-05-24 07:00:00,SELL,4504.15833,4505.15833,LOSS,-10.0
2026-05-24 07:15:00,2026-05-24 07:20:00,SELL,4504.1611,4505.1611,LOSS,-10.0
2026-05-24 07:30:00,2026-05-24 07:35:00,SELL,4504.18173,4505.18173,LOSS,-10.0
2026-05-24 07:45:00,2026-05-24 07:50:00,BUY,4507.27293,4506.27293,LOSS,-10.0
2026-05-24 08:45:00,2026-05-24 08:50:00,BUY,4507.25593,4506.25593,LOSS,-10.0
2026-05-24 09:05:00,2026-05-24 09:10:00,BUY,4507.25099,4506.25099,LOSS,-10.0
2026-05-24 09:20:00,2026-05-24 09:25:00,BUY,4507.27518,4506.27518,LOSS,-10.0
2026-05-24 09:30:00,2026-05-24 09:35:00,SELL,4504.1544,4505.1544,LOSS,-10.0
2026-05-24 09:40:00,2026-05-24 09:45:00,BUY,4507.27774,4506.27774,LOSS,-10.0
2026-05-24 09:50:00,2026-05-24 09:55:00,SELL,4504.15208,4505.15208,LOSS,-10.0
2026-05-24 10:00:00,2026-05-24 10:05:00,BUY,4507.27981,4506.27981,LOSS,-10.0
2026-05-24 10:10:00,2026-05-24 10:15:00,SELL,4504.15025,4505.15025,LOSS,-10.0
2026-05-24 10:20:00,2026-05-24 10:25:00,BUY,4507.28138,4506.28138,LOSS,-10.0
2026-05-24 10:30:00,2026-05-24 10:35:00,SELL,4504.14894,4505.14894,LOSS,-10.0
2026-05-24 10:40:00,2026-05-24 10:45:00,BUY,4507.28244,4506.28244,LOSS,-10.0
2026-05-24 10:50:00,2026-05-24 10:55:00,SELL,4504.14814,4505.14814,LOSS,-10.0
2026-05-24 11:00:00,2026-05-24 11:05:00,BUY,4507.28297,4506.28297,LOSS,-10.0
2026-05-24 11:10:00,2026-05-24 11:15:00,SELL,4504.14787,4505.14787,LOSS,-10.0
2026-05-24 11:20:00,2026-05-24 11:25:00,BUY,4507.28298,4506.28298,LOSS,-10.0
2026-05-24 11:30:00,2026-05-24 11:35:00,SELL,4504.14813,4505.14813,LOSS,-10.0
2026-05-24 11:40:00,2026-05-24 11:45:00,BUY,4507.28246,4506.28246,LOSS,-10.0
2026-05-24 11:50:00,2026-05-24 11:55:00,SELL,4504.14891,4505.14891,LOSS,-10.0
2026-05-24 12:00:00,2026-05-24 12:05:00,BUY,4507.28142,4506.28142,LOSS,-10.0
2026-05-24 12:10:00,2026-05-24 12:15:00,SELL,4504.15021,4505.15021,LOSS,-10.0
2026-05-24 12:20:00,2026-05-24 12:25:00,BUY,4507.27986,4506.27986,LOSS,-10.0
2026-05-24 12:30:00,2026-05-24 12:35:00,SELL,4504.15203,4505.15203,LOSS,-10.0
2026-05-24 12:40:00,2026-05-24 12:45:00,BUY,4507.2778,4506.2778,LOSS,-10.0
2026-05-24 12:50:00,2026-05-24 12:55:00,SELL,4504.15433,4505.15433,LOSS,-10.0
2026-05-24 13:10:00,2026-05-24 13:15:00,SELL,4504.15712,4505.15712,LOSS,-10.0
2026-05-24 13:25:00,2026-05-24 13:30:00,SELL,4504.17755,4505.17755,LOSS,-10.0
2026-05-24 13:40:00,2026-05-24 13:45:00,BUY,4507.26877,4506.26877,LOSS,-10.0
2026-05-24 14:20:00,2026-05-24 14:25:00,BUY,4507.26064,4506.26064,LOSS,-10.0
2026-05-24 14:40:00,2026-05-24 14:45:00,BUY,4507.25602,4506.25602,LOSS,-10.0
2026-05-24 15:00:00,2026-05-24 15:05:00,BUY,4507.25109,4506.25109,LOSS,-10.0
2026-05-24 15:15:00,2026-05-24 15:20:00,BUY,4507.27512,4506.27512,LOSS,-10.0
2026-05-24 15:25:00,2026-05-24 15:30:00,SELL,4504.15445,4505.15445,LOSS,-10.0
2026-05-24 15:35:00,2026-05-24 15:40:00,BUY,4507.27769,4506.27769,LOSS,-10.0
2026-05-24 15:45:00,2026-05-24 15:50:00,SELL,4504.15212,4505.15212,LOSS,-10.0
2026-05-24 15:55:00,2026-05-24 16:00:00,BUY,4507.27977,4506.27977,LOSS,-10.0
2026-05-24 16:05:00,2026-05-24 16:10:00,SELL,4504.15029,4505.15029,LOSS,-10.0
2026-05-24 16:15:00,2026-05-24 16:20:00,BUY,4507.28135,4506.28135,LOSS,-10.0
2026-05-24 16:25:00,2026-05-24 16:30:00,SELL,4504.14896,4505.14896,LOSS,-10.0
2026-05-24 16:35:00,2026-05-24 16:40:00,BUY,4507.28242,4506.28242,LOSS,-10.0
2026-05-24 16:45:00,2026-05-24 16:50:00,SELL,4504.14815,4505.14815,LOSS,-10.0
2026-05-24 16:55:00,2026-05-24 17:00:00,BUY,4507.28297,4506.28297,LOSS,-10.0
2026-05-24 17:05:00,2026-05-24 17:10:00,SELL,4504.14787,4505.14787,LOSS,-10.0
2026-05-24 17:15:00,2026-05-24 17:20:00,BUY,4507.28298,4506.28298,LOSS,-10.0
2026-05-24 17:25:00,2026-05-24 17:30:00,SELL,4504.14812,4505.14812,LOSS,-10.0
2026-05-24 17:35:00,2026-05-24 17:40:00,BUY,4507.28248,4506.28248,LOSS,-10.0
2026-05-24 17:45:00,2026-05-24 17:50:00,SELL,4504.14889,4505.14889,LOSS,-10.0
2026-05-24 17:55:00,2026-05-24 18:00:00,BUY,4507.28144,4506.28144,LOSS,-10.0
2026-05-24 18:05:00,2026-05-24 18:10:00,SELL,4504.15018,4505.15018,LOSS,-10.0
2026-05-24 18:15:00,2026-05-24 18:20:00,BUY,4507.27989,4506.27989,LOSS,-10.0
2026-05-24 18:25:00,2026-05-24 18:30:00,SELL,4504.15198,4505.15198,LOSS,-10.0
2026-05-24 18:35:00,2026-05-24 18:40:00,BUY,4507.27784,4506.27784,LOSS,-10.0
2026-05-24 18:45:00,2026-05-24 18:50:00,SELL,4504.15428,4505.15428,LOSS,-10.0
2026-05-24 19:05:00,2026-05-24 19:10:00,SELL,4504.15706,4505.15706,LOSS,-10.0
2026-05-24 19:20:00,2026-05-24 19:25:00,SELL,4504.17765,4505.17765,LOSS,-10.0
2026-05-24 19:35:00,2026-05-24 19:40:00,BUY,4507.26885,4506.26885,LOSS,-10.0
2026-05-24 19:55:00,2026-05-24 20:00:00,BUY,4507.26498,4506.26498,LOSS,-10.0
2026-05-24 20:15:00,2026-05-24 20:20:00,BUY,4507.26073,4506.26073,LOSS,-10.0
2026-05-24 20:35:00,2026-05-24 20:40:00,BUY,4507.25612,4506.25612,LOSS,-10.0
2026-05-24 20:55:00,2026-05-24 21:00:00,BUY,4507.2512,4506.2512,LOSS,-10.0
2026-05-24 21:10:00,2026-05-24 21:15:00,BUY,4507.27506,4506.27506,LOSS,-10.0
2026-05-24 21:20:00,2026-05-24 21:25:00,SELL,4504.1545,4505.1545,LOSS,-10.0
2026-05-24 21:30:00,2026-05-24 21:35:00,BUY,4507.27764,4506.27764,LOSS,-10.0
2026-05-24 21:40:00,2026-05-24 21:45:00,SELL,4504.15216,4505.15216,LOSS,-10.0
2026-05-24 21:50:00,2026-05-24 21:55:00,BUY,4507.27973,4506.27973,LOSS,-10.0
2026-05-24 22:00:00,2026-05-24 22:05:00,SELL,4504.15032,4505.15032,LOSS,-10.0
2026-05-24 22:10:00,2026-05-24 22:15:00,BUY,4507.28133,4506.28133,LOSS,-10.0
2026-05-24 22:20:00,2026-05-24 22:25:00,SELL,4504.14898,4505.14898,LOSS,-10.0
2026-05-24 22:30:00,2026-05-24 22:35:00,BUY,4507.28241,4506.28241,LOSS,-10.0
2026-05-24 22:40:00,2026-05-24 22:45:00,SELL,4504.14817,4505.14817,LOSS,-10.0
2026-05-24 22:50:00,2026-05-24 22:55:00,BUY,4507.28296,4506.28296,LOSS,-10.0
2026-05-24 23:00:00,2026-05-24 23:05:00,SELL,4504.14787,4505.14787,LOSS,-10.0
2026-05-24 23:10:00,2026-05-24 23:15:00,BUY,4507.28299,4506.28299,LOSS,-10.0
2026-05-24 23:20:00,2026-05-24 23:25:00,SELL,4504.14811,4505.14811,LOSS,-10.0
2026-05-24 23:30:00,2026-05-24 23:35:00,BUY,4507.28249,4506.28249,LOSS,-10.0
2026-05-24 23:40:00,2026-05-24 23:45:00,SELL,4504.14887,4505.14887,LOSS,-10.0
2026-05-24 23:50:00,2026-05-24 23:55:00,BUY,4507.28147,4506.28147,LOSS,-10.0
2026-05-25 00:00:00,2026-05-25 00:05:00,SELL,4504.15015,4505.15015,LOSS,-10.0
2026-05-25 00:10:00,2026-05-25 00:15:00,BUY,4507.27993,4506.27993,LOSS,-10.0
2026-05-25 00:20:00,2026-05-25 00:25:00,SELL,4504.15194,4505.15194,LOSS,-10.0
2026-05-25 00:30:00,2026-05-25 00:35:00,BUY,4507.27789,4506.27789,LOSS,-10.0
2026-05-25 00:40:00,2026-05-25 00:45:00,SELL,4504.15423,4505.15423,LOSS,-10.0
2026-05-25 01:00:00,2026-05-25 01:05:00,SELL,4504.15699,4505.15699,LOSS,-10.0
2026-05-25 01:15:00,2026-05-25 01:20:00,SELL,4504.17775,4505.17775,LOSS,-10.0
2026-05-25 01:30:00,2026-05-25 01:35:00,BUY,4507.26892,4506.26892,LOSS,-10.0
2026-05-25 01:50:00,2026-05-25 01:55:00,BUY,4507.26507,4506.26507,LOSS,-10.0
2026-05-25 02:10:00,2026-05-25 02:15:00,BUY,4507.26082,4506.26082,LOSS,-10.0
2026-05-25 02:30:00,2026-05-25 02:35:00,BUY,4507.25622,4506.25622,LOSS,-10.0
2026-05-25 02:50:00,2026-05-25 02:55:00,BUY,4507.2513,4506.2513,LOSS,-10.0
2026-05-25 03:05:00,2026-05-25 03:10:00,BUY,4507.275,4506.275,LOSS,-10.0
2026-05-25 03:15:00,2026-05-25 03:20:00,SELL,4504.15456,4505.15456,LOSS,-10.0
2026-05-25 03:35:00,2026-05-25 03:40:00,SELL,4504.15221,4505.15221,LOSS,-10.0
2026-05-25 03:45:00,2026-05-25 03:50:00,BUY,4507.2797,4506.2797,LOSS,-10.0
2026-05-25 03:55:00,2026-05-25 04:00:00,SELL,4504.15035,4505.15035,LOSS,-10.0
2026-05-25 04:05:00,2026-05-25 04:10:00,BUY,4507.2793,4506.2793,LOSS,-10.0
2026-05-25 04:15:00,2026-05-25 04:20:00,SELL,4504.1346,4505.1346,LOSS,-10.0
2026-05-25 04:25:00,2026-05-25 04:30:00,BUY,4507.27231,4506.27231,LOSS,-10.0
2026-05-25 04:35:00,2026-05-25 04:40:00,SELL,4504.13794,4505.13794,LOSS,-10.0
2026-05-25 04:45:00,2026-05-25 04:50:00,BUY,4507.27486,4506.27486,LOSS,-10.0
2026-05-25 04:55:00,2026-05-25 05:00:00,SELL,4504.14178,4505.14178,LOSS,-10.0
2026-05-25 05:05:00,2026-05-25 05:10:00,BUY,4507.27689,4506.27689,LOSS,-10.0
2026-05-25 05:15:00,2026-05-25 05:20:00,SELL,4504.14202,4505.14202,LOSS,-10.0
2026-05-25 05:25:00,2026-05-25 05:30:00,BUY,4507.27433,4506.27433,LOSS,-10.0
2026-05-25 05:35:00,2026-05-25 05:40:00,SELL,4504.14283,4505.14283,LOSS,-10.0
2026-05-25 05:45:00,2026-05-25 05:50:00,BUY,4507.26916,4506.26916,LOSS,-10.0
2026-05-25 05:55:00,2026-05-25 06:00:00,SELL,4504.13605,4505.13605,LOSS,-10.0
2026-05-25 06:05:00,2026-05-25 06:10:00,BUY,4507.26969,4506.26969,LOSS,-10.0
2026-05-25 06:35:00,2026-05-25 06:40:00,SELL,4504.12326,4505.12326,LOSS,-10.0
2026-05-25 06:45:00,2026-05-25 06:50:00,BUY,4507.26711,4506.26711,LOSS,-10.0
2026-05-25 06:55:00,2026-05-25 07:00:00,SELL,4504.14909,4505.14909,LOSS,-10.0
2026-05-25 07:05:00,2026-05-25 07:10:00,BUY,4507.26003,4506.26003,LOSS,-10.0
2026-05-25 07:25:00,2026-05-25 07:30:00,BUY,4507.38018,4506.38018,LOSS,-10.0
2026-05-25 11:10:00,2026-05-25 11:15:00,SELL,4560.31869,4561.31869,LOSS,-10.0
2026-05-25 11:25:00,2026-05-25 11:30:00,BUY,4575.02904,4574.02904,LOSS,-10.0
2026-05-25 11:45:00,2026-05-25 11:50:00,SELL,4562.0164,4563.0164,LOSS,-10.0
2026-05-25 14:50:00,2026-05-25 14:55:00,BUY,4566.30817,4565.30817,LOSS,-10.0
2026-05-25 15:20:00,2026-05-25 15:25:00,SELL,4555.75522,4556.75522,LOSS,-10.0
2026-05-25 17:25:00,2026-05-25 17:30:00,SELL,4555.10126,4556.10126,LOSS,-10.0
2026-05-25 18:25:00,2026-05-25 18:30:00,SELL,4553.08941,4554.08941,LOSS,-10.0
2026-05-25 19:30:00,2026-05-25 19:35:00,BUY,4564.76967,4563.76967,LOSS,-10.0
2026-05-25 22:05:00,2026-05-25 22:10:00,SELL,4556.39362,4557.39362,LOSS,-10.0
2026-05-26 00:05:00,2026-05-26 00:10:00,BUY,4570.97581,4569.97581,LOSS,-10.0
2026-05-26 03:40:00,2026-05-26 03:45:00,SELL,4565.41914,4566.41914,LOSS,-10.0
2026-05-26 04:40:00,2026-05-26 04:45:00,BUY,4572.69404,4571.69404,LOSS,-10.0
2026-05-26 09:30:00,2026-05-26 09:35:00,SELL,4561.21764,4562.21764,LOSS,-10.0
2026-05-26 13:30:00,2026-05-26 13:35:00,BUY,4544.56436,4543.56436,LOSS,-10.0
2026-05-26 14:20:00,2026-05-26 14:25:00,SELL,4535.11934,4536.11934,LOSS,-10.0
2026-05-26 16:40:00,2026-05-26 16:45:00,BUY,4534.30181,4533.30181,LOSS,-10.0
2026-05-26 16:50:00,2026-05-26 16:55:00,SELL,4529.12167,4530.12167,LOSS,-10.0
2026-05-26 17:55:00,2026-05-26 18:00:00,BUY,4540.23093,4539.23093,LOSS,-10.0
2026-05-26 18:25:00,2026-05-26 18:30:00,SELL,4522.88033,4523.88033,LOSS,-10.0
2026-05-26 20:15:00,2026-05-26 20:20:00,BUY,4529.79781,4528.79781,LOSS,-10.0
2026-05-26 23:05:00,2026-05-26 23:10:00,BUY,4522.65689,4521.65689,LOSS,-10.0
2026-05-27 00:05:00,2026-05-27 00:10:00,SELL,4515.66115,4516.66115,LOSS,-10.0
2026-05-27 00:40:00,2026-05-27 00:45:00,BUY,4522.28494,4521.28494,LOSS,-10.0
2026-05-27 00:50:00,2026-05-27 00:55:00,SELL,4515.82006,4516.82006,LOSS,-10.0
2026-05-27 08:00:00,2026-05-27 08:05:00,SELL,4500.71641,4501.71641,LOSS,-10.0
2026-05-27 08:55:00,2026-05-27 09:00:00,BUY,4514.04847,4513.04847,LOSS,-10.0
2026-05-27 11:35:00,2026-05-27 11:40:00,SELL,4512.13185,4513.13185,LOSS,-10.0
2026-05-27 14:45:00,2026-05-27 14:50:00,BUY,4516.26148,4515.26148,LOSS,-10.0
2026-05-27 15:30:00,2026-05-27 15:35:00,SELL,4492.91311,4493.91311,LOSS,-10.0
2026-05-27 18:30:00,2026-05-27 18:35:00,BUY,4489.57323,4488.57323,LOSS,-10.0
2026-05-28 00:10:00,2026-05-28 00:15:00,BUY,4454.7752,4453.7752,LOSS,-10.0
2026-05-28 01:10:00,2026-05-28 01:15:00,SELL,4429.64344,4430.64344,LOSS,-10.0
2026-05-28 01:35:00,2026-05-28 01:40:00,BUY,4441.16962,4440.16962,LOSS,-10.0
2026-05-28 01:45:00,2026-05-28 01:50:00,SELL,4431.40658,4432.40658,LOSS,-10.0
2026-05-28 02:00:00,2026-05-28 02:05:00,BUY,4445.18433,4444.18433,LOSS,-10.0
2026-05-28 09:05:00,2026-05-28 09:10:00,SELL,4450.44292,4451.44292,LOSS,-10.0
2026-05-28 10:55:00,2026-05-28 11:00:00,BUY,4458.1696,4457.1696,LOSS,-10.0
2026-05-28 20:50:00,2026-05-28 20:55:00,SELL,4378.06681,4379.06681,LOSS,-10.0
2026-05-28 22:10:00,2026-05-28 22:15:00,BUY,4394.07227,4393.07227,LOSS,-10.0
2026-05-28 22:20:00,2026-05-28 22:25:00,SELL,4380.4277,4381.4277,LOSS,-10.0
2026-05-28 22:35:00,2026-05-28 22:40:00,BUY,4402.83099,4401.83099,LOSS,-10.0
2026-05-29 04:55:00,2026-05-29 05:00:00,SELL,4500.0216,4501.0216,LOSS,-10.0
2026-05-29 10:10:00,2026-05-29 10:15:00,BUY,4499.07867,4498.07867,LOSS,-10.0
2026-05-29 13:00:00,2026-05-29 13:05:00,SELL,4498.84339,4499.84339,LOSS,-10.0
2026-05-29 14:10:00,2026-05-29 14:15:00,BUY,4504.07147,4503.07147,LOSS,-10.0
2026-05-29 18:25:00,2026-05-29 18:30:00,SELL,4516.30975,4517.30975,LOSS,-10.0
2026-05-29 19:05:00,2026-05-29 19:10:00,BUY,4524.23034,4523.23034,LOSS,-10.0
2026-05-29 21:30:00,2026-05-29 21:35:00,SELL,4525.32192,4526.32192,LOSS,-10.0
2026-05-29 21:55:00,2026-05-29 22:00:00,BUY,4538.71301,4537.71301,LOSS,-10.0
2026-05-29 22:05:00,2026-05-29 22:10:00,SELL,4525.91618,4526.91618,LOSS,-10.0
2026-05-29 23:35:00,2026-05-29 23:40:00,BUY,4533.1062,4532.1062,LOSS,-10.0
2026-05-30 03:25:00,2026-05-30 03:30:00,SELL,4561.44425,4562.44425,LOSS,-10.0
2026-05-30 12:20:00,2026-05-30 12:25:00,BUY,4544.0562,4543.0562,LOSS,-10.0
2026-05-30 12:35:00,2026-05-30 12:40:00,BUY,4544.06556,4543.06556,LOSS,-10.0
2026-05-30 12:45:00,2026-05-30 12:50:00,SELL,4540.93281,4541.93281,LOSS,-10.0
2026-05-30 12:55:00,2026-05-30 13:00:00,BUY,4544.06408,4543.06408,LOSS,-10.0
2026-05-30 13:05:00,2026-05-30 13:10:00,SELL,4540.93455,4541.93455,LOSS,-10.0
2026-05-30 13:15:00,2026-05-30 13:20:00,BUY,4544.06321,4543.06321,LOSS,-10.0
2026-05-30 13:25:00,2026-05-30 13:30:00,SELL,4540.93679,4541.93679,LOSS,-10.0
2026-05-30 13:35:00,2026-05-30 13:40:00,BUY,4544.06234,4543.06234,LOSS,-10.0
2026-05-30 13:45:00,2026-05-30 13:50:00,SELL,4540.93951,4541.93951,LOSS,-10.0
2026-05-30 13:55:00,2026-05-30 14:00:00,BUY,4544.06131,4543.06131,LOSS,-10.0
2026-05-30 14:55:00,2026-05-30 15:00:00,BUY,4544.05729,4543.05729,LOSS,-10.0
2026-05-30 15:15:00,2026-05-30 15:20:00,BUY,4544.05568,4543.05568,LOSS,-10.0
